department,""city"",""communitytype"",""name"",""latitude"",""longitude""
01,""CORMORANCHE SUR SAONE"",""Groupement paroissial"",""Saint Didier"",46.23973914,4.83164015
01,""Cormoz"",""Groupement paroissial"",""Notre-Dame de Bellor (Chapelle de Bellor)"",46.42004935,5.21553721
01,""CORMOZ"",""Groupement paroissial"",""Saint Pancrace"",46.44838922,5.23379368
01,""CORVEISSIAT"",""Groupement paroissial"",""Saint Georges"",46.24386092,5.48349097
01,""Corveissiat"",""Groupement paroissial"",""Saint Maurice (Saint Maurice d'Echazeaux)"",0.00000000,0.00000000
01,""CORVEISSIAT"",""Groupement paroissial"",""Sainte Catherine (Sainte Catherine d'Arnans)"",46.26152500,5.45843800
01,""COURMANGOUX"",""Groupement paroissial"",""Saint Oyen"",46.33057230,5.36933570
01,""COURMANGOUX"",""Groupement paroissial"",""Saint-Sébastien (Chapelle de Chevignat)"",0.00000000,0.00000000
01,""COURTES"",""Groupement paroissial"",""Saint Hilaire"",46.46062821,5.09973721
01,""CRANS"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",45.96170896,5.21330798
01,""CRAS SUR REYSSOUZE"",""Groupement paroissial"",""Saint Jean-Baptiste"",46.30830168,5.16458660
01,""CRESSIN ROCHEFORT"",""Groupement paroissial"",""Saint Etienne"",45.77786170,5.76298480
01,""CROTTET"",""Groupement paroissial"",""Saint Paul"",46.27801590,4.89326960
01,""CROZET"",""Groupement paroissial"",""Saints Jacques et Philippe"",46.28184460,6.01075370
01,""CRUZILLES LES MEPILLAT"",""Groupement paroissial"",""Saint Denis"",46.22422228,4.88209709
01,""CULOZ"",""Groupement paroissial"",""Saint Martin"",45.84992320,5.78079810
01,""CURCIAT DONGALON"",""Groupement paroissial"",""Saint Laurent"",46.47421996,5.15623238
01,""CURTAFOND"",""Groupement paroissial"",""Saint Clément"",46.27053598,5.09013510
01,""Cuzieu"",""Groupement paroissial"",""Saint Oyen"",45.81580600,5.68285100
01,""DAGNEUX"",""Groupement paroissial"",""Saint Nizier"",45.85113122,5.07134032
01,""DIVONNE LES BAINS"",""Groupement paroissial"",""Saint Etienne"",46.35698800,6.14327600
01,""DOMMARTIN"",""Groupement paroissial"",""Saint Blaise"",46.33747043,4.98675368
01,""DOMPIERRE SUR CHALARONNE"",""Groupement paroissial"",""Saint Clément"",46.13890397,4.89880151
01,""DOMPIERRE SUR VEYLE"",""Groupement paroissial"",""Saint Maurice"",46.07215009,5.20542837
01,""DOMSURE"",""Groupement paroissial"",""Saint Théodore"",46.41948757,5.29480021
01,""DORTAN"",""Groupement paroissial"",""Saint Martin"",46.31939403,5.65974787
01,""DOUVRES"",""Groupement paroissial"",""Saints Pierre et Paul"",45.98865273,5.37494815
01,""DROM"",""Groupement paroissial"",""Saint Thyrse"",46.21821950,5.36701550
01,""DRUILLAT"",""Groupement paroissial"",""Saint Georges"",46.05923695,5.31784139
01,""Echallon"",""Groupement paroissial"",""Oratoire d'Echallon"",46.20956095,5.74050862
01,""ECHALLON"",""Groupement paroissial"",""Saint Maurice"",46.20938276,5.74062664
01,""ELOISE"",""Paroisse"",""Eglise Saint-Vincent"",46.08043765,5.86096061
01,""ETREZ"",""Groupement paroissial"",""Saint Martin"",46.33432789,5.18594781
01,""EVOSGES"",""Groupement paroissial"",""Saint Martin"",45.95877651,5.49585497
01,""FARAMANS"",""Groupement paroissial"",""Saint Vincent"",45.90289493,5.12532459
01,""FAREINS"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",46.02008160,4.76136002
01,""FARGES"",""Groupement paroissial"",""Saint Brice"",46.16871340,5.90705011
01,""FEILLENS"",""Groupement paroissial"",""Notre-Dame (Chapelle de Feillens)"",0.00000000,0.00000000
01,""FEILLENS"",""Groupement paroissial"",""Saint Rambert"",46.33642615,4.88752313
01,""FERNEY VOLTAIRE"",""Groupement paroissial"",""Nativité de la Vierge"",46.25765422,6.10832408
01,""FLAXIEU"",""Groupement paroissial"",""Saint Maurice"",45.80787186,5.73501953
01,""FOISSIAT"",""Groupement paroissial"",""Saint Denis"",46.36996840,5.17504430
01,""FRANCHELEINS"",""Groupement paroissial"",""Saint Martin"",46.07462058,4.80873674
01,""FRANCHELEINS"",""Groupement paroissial"",""Saints Pierre et Paul (Eglise d'Amareins)"",46.07661538,4.79416771
01,""FRANS"",""Groupement paroissial"",""Saint Etienne"",45.99068770,4.77334498
01,""GARNERANS"",""Groupement paroissial"",""Saint Jean-Baptiste"",46.20602970,4.84083620
01,""Génissiat"",""Groupement paroissial"",""Saint Martin"",46.05091670,5.80582388
01,""GENOUILLEUX"",""Groupement paroissial"",""Saint Pierre"",46.11914330,4.78628060
01,""GEOVREISSET"",""Groupement paroissial"",""Saint Martin"",46.25569600,5.61778400
01,""BEARD-GEOVREISSIAT"",""Groupement paroissial"",""Saint Jean-Baptiste"",46.18916631,5.55798071
01,""GERMAGNAT"",""Groupement paroissial"",""Saint Germain"",46.30993550,5.44990610
01,""Gex"",""Groupement paroissial"",""La Trinité (Chapelle du presbytère)"",46.33464650,6.05789620
01,""GEX"",""Groupement paroissial"",""Saint Pierre"",46.33419090,6.05803600
01,""GIRON"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",46.22577120,5.77374410
01,""GORREVOD"",""Groupement paroissial"",""Saints Pierre et Paul"",46.42002065,4.94434887
01,""GRAND CORENT"",""Groupement paroissial"",""Sainte Madeleine"",46.20163210,5.43186920
01,""GRIEGES"",""Groupement paroissial"",""Saint Gengoult (Chapelle St Gengoult)"",46.25041709,4.83924087
01,""GRIEGES"",""Groupement paroissial"",""Saint Martin"",46.25504655,4.85071670
01,""GRILLY"",""Groupement paroissial"",""Saint Benoit"",46.33052390,6.11399600
01,""GROISSIAT"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",46.22147450,5.60735650
01,""GROSLEE"",""Groupement paroissial"",""Saint Cyriaque"",45.71384600,5.57003287
01,""GUEREINS"",""Groupement paroissial"",""Saint Marcellin"",46.10823327,4.77957115
01,""HAUTECOURT ROMANECHE"",""Groupement paroissial"",""Saint Laurent (Saint-Laurent de Hautecourt)"",46.16052862,5.41801840
01,""HAUTECOURT ROMANECHE"",""Groupement paroissial"",""Saint Paul (Saint-Paul de Romanèche)"",46.18671726,5.44103512
01,""HAUTEVILLE LOMPNES"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",45.97692029,5.60350891
01,""HAUTEVILLE LOMPNES"",""Groupement paroissial"",""Saint Etienne (Eglise de Lacoux)"",45.96562051,5.54276932
01,""HAUTEVILLE LOMPNES"",""Groupement paroissial"",""Saint Pierre (Eglise de Longecombe)"",45.94909568,5.55104180
01,""Hauteville"",""Groupement paroissial"",""Notre-Dame de la Visitation (Chapelle de Mazières)"",45.97071346,5.62618523
01,""Hauteville"",""Groupement paroissial"",""Saint Pierre (Chapelle de Lompnes)"",45.98618704,5.60501189
01,""HOSTIAZ"",""Groupement paroissial"",""Saint Laurent"",45.90317691,5.53587329
01,""Hotonnes"",""Groupement paroissial"",""Les Plans d'Hotonnes"",46.03866900,5.70074800
01,""HOTONNES"",""Groupement paroissial"",""Saint Romain"",45.99696700,5.69175590
01,""ILLIAT"",""Groupement paroissial"",""Saint Symphorien"",46.18980700,4.88835270
01,""CRAZ - INJOUX GENISSIAT"",""Groupement paroissial"",""Saint Maurice"",46.04105090,5.75748688
01,""Injoux"",""Groupement paroissial"",""Saint Laurent"",46.05823547,5.77188430
01,""INNIMOND"",""Groupement paroissial"",""Saint Laurent"",45.77963621,5.57323527
01,""IZENAVE"",""Groupement paroissial"",""Saint Jean-Baptiste"",46.03866297,5.52598132
01,""IZERNORE"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",46.21977560,5.55482520
01,""Izieu"",""Groupement paroissial"",""Saint Maurice"",45.65156000,5.64030020
01,""JASSANS RIOTTIER"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",45.98144160,4.75853830
01,""JASSERON"",""Groupement paroissial"",""Saint Jean-Baptiste"",46.21289818,5.32888325
01,""JAYAT"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",46.36883757,5.11895459
01,""JOURNANS"",""Groupement paroissial"",""Saint Valérien"",46.14454887,5.33473222
01,""JOYEUX"",""Groupement paroissial"",""Saint Martin"",45.96151243,5.09952102
01,""JUJURIEUX"",""Groupement paroissial"",""Saint Etienne"",46.03981784,5.40933325
01,""L'ABERGEMENT CLEMENCIAT"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",46.15100195,4.92072576
01,""L'ABERGEMENT DE VAREY"",""Groupement paroissial"",""Saint Louis"",46.00704260,5.42383769
01,""LA BOISSE"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",45.84097932,5.03556670
01,""LA BURBANCHE"",""Groupement paroissial"",""Notre-Dame de l'Annonciation"",45.84546111,5.56113226
